assists,boosts,headshotKills,heals,kills,longestKill,matchDuration,matchType,revives,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPlacePerc
0,0,0,0,0,0.0,1353,duo-fpp,0,0,0,1058.0,3,0.4894
0,0,0,0,0,0.0,1330,squad-fpp,0,0,0,2382.0,4,0.6333
0,0,0,0,0,0.0,1367,solo-fpp,0,0,0,812.0,5,0.6327
0,0,0,0,0,0.0,1957,squad-fpp,0,0,0,18.64,1,0.0714
0,1,0,0,1,156.3,1796,duo-fpp,0,0,0,3457.0,6,0.7447
0,4,0,3,3,77.6,1368,squad-fpp,0,0,0,3160.0,7,0.8889
0,0,0,0,0,0.0,1920,solo-fpp,0,0,0,2248.0,4,0.4737
0,0,0,0,0,0.0,1783,duo-fpp,0,0,0,270.1,1,0.3043
0,0,0,0,0,0.0,1377,squad,0,0,0,23.41,1,0.0
0,0,0,0,1,10.99,1835,squad-fpp,1,0,0,1078.0,6,0.6071
1,6,2,7,3,200.5,1790,squad-fpp,0,0,0,2509.0,5,0.6897
0,3,2,12,2,55.5,2180,duo,1,0,1,3324.0,10,0.8958
0,0,0,0,0,0.0,1916,squad-fpp,0,0,0,51.66,4,0.1071
0,0,0,0,0,0.0,1373,squad,0,0,0,162.9,2,0.0769
0,3,1,3,1,27.04,1470,squad-fpp,0,0,0,2031.0,5,0.75
0,3,1,9,3,92.74,1293,squad-fpp,0,0,0,2826.0,6,0.9286
0,0,0,0,0,0.0,1440,squad-fpp,0,0,0,1351.0,3,0.5161
3,1,0,1,1,54.35,1268,squad-fpp,1,0,0,2638.0,4,0.9231
1,2,0,0,0,0.0,1431,squad-fpp,0,0,0,209.3,1,0.2857
0,0,0,0,0,0.0,1347,duo-fpp,0,0,0,270.3,3,0.3125
0,0,0,0,0,0.0,1954,duo-fpp,0,0,0,23.53,0,0.2
0,1,1,1,3,65.3,1344,squad-fpp,0,0,0,3679.0,4,0.8519
1,0,0,0,0,0.0,1844,squad,0,0,0,51.08,1,0.0385
0,2,0,3,2,11.73,1872,duo-fpp,0,0,0,1808.0,4,0.6042
0,0,0,1,0,0.0,1384,squad-fpp,1,0,0,1770.0,3,0.7308
3,3,0,3,1,16.94,1978,squad,2,1,0,1767.0,6,0.5909
0,0,0,3,2,4.524,1896,solo-fpp,0,0,0,1621.0,6,0.7708
0,0,0,0,0,0.0,1903,solo-fpp,0,0,0,28.89,1,0.0928
0,2,0,1,2,42.02,1396,duo-fpp,0,0,0,1890.0,5,0.8333
0,5,0,9,3,101.6,2025,squad,0,0,0,2861.0,7,0.6538
3,7,1,7,3,20.31,1416,squad-fpp,2,0,0,3136.0,2,1.0
1,9,0,4,0,0.0,1886,squad,1,0,0,3717.0,5,1.0
1,0,0,0,1,36.27,1342,squad,0,0,0,1434.0,7,0.72
0,0,0,0,0,0.0,1945,solo-fpp,0,0,0,506.4,3,0.4632
0,0,0,0,0,0.0,1877,duo-fpp,0,0,0,40.09,0,0.0217
1,0,0,0,1,6.263,1343,squad-fpp,0,0,0,545.5,4,0.4444
0,0,0,0,1,56.15,1459,squad-fpp,0,0,0,726.0,3,0.4483
0,3,0,4,1,5.798,1906,duo-fpp,1,0,0,1475.0,2,0.6596
0,0,1,5,2,15.46,1903,solo-fpp,0,0,0,308.0,3,0.4105
0,3,0,0,1,55.64,1898,solo-fpp,0,0,0,2532.0,3,0.7474
0,1,2,3,4,35.23,1962,squad-fpp,0,0,0,669.1,3,0.3462
0,0,0,0,1,71.16,1392,solo-fpp,0,0,0,1031.0,3,0.5625
0,1,0,0,3,69.83,1789,squad,0,0,1,2873.0,5,0.8333
0,3,0,6,0,0.0,1335,squad,1,0,0,2850.0,8,0.7857
0,0,0,3,0,0.0,1945,squad,1,0,0,2603.0,3,0.5714
0,0,0,0,0,0.0,2031,flarefpp,0,1,0,0.0,0,0.0
0,0,0,1,0,0.0,1869,duo-fpp,0,0,0,231.6,2,0.1042
0,0,0,0,1,12.37,1385,squad,0,0,0,54.66,1,0.0
0,0,0,0,0,0.0,1957,solo,0,0,0,1401.0,20,0.7041
0,0,0,0,1,5.667,1418,solo-fpp,0,0,0,164.9,2,0.1828
0,0,0,1,0,0.0,1343,solo-fpp,0,0,0,980.8,5,0.5258
0,2,0,1,1,4.159,1312,squad-fpp,0,0,0,465.6,3,0.2759
