iter	RMSE
0	13.99215123
1	13.09089938
2	12.27951842
3	11.55448876
4	10.87192643
5	10.30489464
6	9.802410694
7	9.378737839
8	8.94603449
9	8.52144243
10	8.162606291
11	7.847074384
12	7.603030553
13	7.33485422
14	7.102554282
15	6.899283025
16	6.724645424
17	6.563807749
18	6.426838475
19	6.303862419
20	6.197934761
21	6.111959552
22	6.014669976
23	5.932637108
24	5.854790675
25	5.79446401
26	5.72978941
27	5.689757639
28	5.647640018
29	5.607092388
30	5.563960975
31	5.525454026
32	5.489619672
33	5.449489849
34	5.421417266
35	5.391490646
36	5.365770525
37	5.34998047
38	5.328429401
39	5.302094262
40	5.278622891
41	5.265460381
42	5.245499965
43	5.22915201
44	5.212931486
45	5.200977526
46	5.18468492
47	5.166442458
48	5.15477791
49	5.140176542
50	5.131417252
51	5.117827016
52	5.108880394
53	5.098304748
54	5.084790905
55	5.06742161
56	5.058440421
57	5.049132711
58	5.044959967
59	5.028575105
60	5.016528511
61	4.999170728
62	4.982488569
63	4.974014192
64	4.961273515
65	4.952554279
66	4.943941568
67	4.92858238
68	4.911614363
69	4.896970347
70	4.892394156
71	4.872076682
72	4.861781012
73	4.850362575
74	4.843173358
75	4.82970747
76	4.824081735
77	4.813492887
78	4.809572939
79	4.801877906
80	4.793399645
81	4.785337808
82	4.775215138
83	4.766127584
84	4.760064673
85	4.756453569
86	4.749616345
87	4.745172257
88	4.738627207
89	4.71510183
90	4.71218853
91	4.692519096
92	4.6830831
93	4.671542889
94	4.665738913
95	4.65800792
96	4.64961225
97	4.641368015
98	4.638191521
99	4.633316313
