iter	Passed	Remaining
0	3	369
1	6	326
2	9	306
3	12	294
4	15	289
5	18	285
6	21	279
7	23	273
8	26	268
9	29	264
10	32	261
11	35	261
12	38	257
13	41	253
14	44	249
15	47	246
16	49	243
17	52	239
18	55	236
19	58	233
20	61	231
21	64	228
22	67	224
23	69	221
24	72	218
25	75	215
26	78	212
27	81	209
28	84	206
29	87	203
30	89	200
31	92	197
32	95	193
33	98	190
34	101	187
35	103	184
36	106	181
37	109	178
38	112	175
39	115	173
40	116	168
41	120	165
42	123	163
43	126	160
44	129	157
45	131	154
46	134	151
47	137	148
48	140	146
49	143	143
50	144	139
51	147	136
52	150	133
53	153	130
54	156	127
55	159	125
56	161	122
57	165	119
58	167	116
59	170	113
60	173	110
61	176	108
62	179	105
63	182	102
64	185	99
65	188	96
66	190	94
67	194	91
68	197	88
69	200	85
70	202	82
71	205	79
72	208	77
73	211	74
74	214	71
75	217	68
76	219	65
77	224	63
78	227	60
79	230	57
80	232	54
81	236	51
82	238	48
83	241	46
84	243	43
85	246	40
86	249	37
87	252	34
88	255	31
89	258	28
90	261	25
91	263	22
92	266	20
93	269	17
94	272	14
95	275	11
96	278	8
97	280	5
98	283	2
99	286	0
